Region,PTA_ID,Estimate,SE,z,P,Significance
Intercontinental,4,1.254347804,0.267894826,4.682239744,2.83757E-06,3
Intercontinental,15,0.31325558,0.17944065,1.745733641,0.080857247,1
Intercontinental,17,0.810892836,0.242025069,3.350449773,0.000806804,3
Intercontinental,75,1.365572344,0.492921267,2.770366048,0.005599333,3
Intercontinental,84,-0.059300003,0.120044731,-0.493982559,0.621318497,0
Intercontinental,96,0.271137896,0.054771299,4.950364518,7.40746E-07,3
Intercontinental,104,-0.337653652,0.11234173,-3.005594203,0.002650625,3
Intercontinental,136,0.744420795,0.185410951,4.014977494,5.94515E-05,3
Intercontinental,152,0.109527646,0.265826559,0.412026722,0.680319837,0
Intercontinental,164,0.287711756,0.072891436,3.947127024,7.90946E-05,3
Intercontinental,181,0.392066423,0.178310784,2.198781327,0.027893475,2
Intercontinental,202,0.657606171,0.123179347,5.338607362,9.36632E-08,3
Intercontinental,205,0.001215506,0.177888979,0.006832946,0.99454814,0
Intercontinental,206,1.53949166,0.180221055,8.54224086,1.31644E-17,3
Intercontinental,207,0.515952699,0.113713475,4.537304842,5.69777E-06,3
Intercontinental,208,0.76259634,0.129242502,5.900507404,3.62385E-09,3
Intercontinental,227,0.348436887,0.186190723,1.871397684,0.06128998,1
Intercontinental,242,0.050055021,0.29368143,0.170439856,0.86466423,0
Intercontinental,252,0.191649619,0.356998871,0.536835364,0.591381342,0
Intercontinental,263,1.425609927,0.115292998,12.36510417,4.03688E-35,3
Intercontinental,304,0.770177234,0.120464084,6.393417914,1.62218E-10,3
Intercontinental,323,-0.337766222,0.137900855,-2.44934102,0.014311787,2
Intercontinental,330,0.314987013,0.085734984,3.673961322,0.000238819,3
Intercontinental,376,0.171551789,0.228382586,0.751159675,0.452556566,0
Intercontinental,383,-0.201540621,0.151765422,-1.327974575,0.184186506,0
Intercontinental,384,0.64532662,0.355463678,1.815450244,0.069454746,1
Intercontinental,386,-0.092095106,0.168381139,-0.546944311,0.584416992,0
Intercontinental,390,0.04710759,0.180748978,0.260624379,0.794382188,0
Intercontinental,396,0.018571711,0.379422809,0.04894727,0.960961318,0
Intercontinental,399,-0.47255253,0.126558433,-3.733868354,0.000188561,3
Intercontinental,401,0.406694792,0.288383851,1.410255085,0.158464376,0
Intercontinental,415,1.853247087,0.201066452,9.217087516,3.05279E-20,3
Intercontinental,416,0.424180869,0.294925851,1.438262761,0.150359514,0
Intercontinental,466,0.710172791,0.146756679,4.839117353,1.30417E-06,3
Intercontinental,490,0.842544873,0.181046999,4.653735656,3.25975E-06,3
Intercontinental,508,0.13980619,0.12220659,1.144015146,0.252617356,0
Intercontinental,509,0.209921143,0.215771612,0.972885826,0.33061005,0
Intercontinental,512,-0.457896203,0.265622387,-1.723861489,0.084732851,1
Intercontinental,518,0.627456601,0.134621004,4.6609116,3.14812E-06,3
Intercontinental,521,0.101889331,0.045224448,2.252970126,0.024261033,2
Intercontinental,543,1.089848782,0.707351663,1.540745346,0.123378776,0
Intercontinental,602,-0.075778078,0.918410741,-0.082510008,0.93424116,0
Intercontinental,624,0.383748136,0.163199716,2.351401979,0.018702817,2
Intercontinental,626,1.099306564,0.120583219,9.116579993,7.75324E-20,3
Intercontinental,627,2.37193231,0.345304097,6.869111402,6.4603E-12,3
Intercontinental,628,0.483709569,0.141785918,3.41154874,0.00064595,3
Intercontinental,637,0.667179799,0.102106746,6.534140245,6.3976E-11,3
Intercontinental,641,2.027775559,1.255435763,1.615196586,0.10626813,0
Intercontinental,644,-0.189256028,0.121697297,-1.555137475,0.119913331,0
Intercontinental,657,0.705135045,0.081941357,8.605362012,7.60763E-18,3
Intercontinental,658,-0.302538326,0.348812356,-0.867338331,0.385756661,0
Intercontinental,677,-1.366158147,0.384822334,-3.550100982,0.000385083,3
Intercontinental,679,-1.428718658,0.430098104,-3.321843659,0.000894248,3
Intercontinental,979,-0.125635467,0.294405893,-0.426742365,0.66956699,0
Asia,1,-0.73188,0.358555,-2.0412,0.041231,2
Asia,67,0.342056,0.125446,2.726711,0.006397,3
Asia,70,0.472269,0.149972,3.149037,0.001638,3
Asia,71,-0.13761,0.091286,-1.50743,0.131701,0
Asia,72,0.253544,0.178368,1.421469,0.155181,0
Asia,100,0.376008,0.105322,3.570084,0.000357,3
Asia,116,0.256037,0.703366,0.364017,0.715846,0
Asia,220,-1.21541,0.09318,-13.0437,6.9E-39,3
Asia,221,-2.95497,0.726828,-4.06557,0.0000479,3
Asia,223,-0.01438,0.202846,-0.07087,0.943498,0
Asia,456,-0.20898,0.165361,-1.26379,0.206306,0
Asia,474,0.419494,0.243229,1.724688,0.084584,1
Asia,475,0.635912,0.298294,2.131829,0.033021,2
Asia,492,0.040996,0.179682,0.228157,0.819524,0
Asia,534,-0.16519,0.370192,-0.44623,0.655428,0
Asia,598,0.166,0.082873,2.003053,0.045172,2
Asia,599,-0.96662,0.191147,-5.05694,0.000000426,3
Asia,640,0.183117,0.216673,0.845131,0.398038,0
Asia,667,-0.04899,0.240581,-0.20362,0.838654,0
Asia,675,1.359583,0.655261,2.074872,0.037998,2
Asia,683,1.07972,0.237112,4.553621,0.00000527,3
Africa,670,0.325963,0.409857,0.795308,0.426434,0
Africa,787,0.303863,0.232632,1.306196,0.191486,0
Americas,141,0.265267,0.023588,11.24572,2.43E-29,3
Americas,163,0.342481,0.095748,3.576917,0.000348,3
Americas,168,0.410099,0.113372,3.617273,0.000298,3
Americas,185,0.290785,0.375875,0.773624,0.439153,0
Americas,188,-0.77428,0.143952,-5.3787,0.000000075,3
Americas,201,0.54517,0.264668,2.059822,0.039416,2
Americas,213,1.342041,0.434488,3.088791,0.00201,3
Americas,218,0.879317,0.172537,5.096394,0.000000346,3
Americas,239,0.570952,0.172852,3.303125,0.000956,3
Americas,612,0.514753,0.250729,2.053027,0.04007,2
Americas,616,0.488073,0.043672,11.17599,5.34E-29,3
Americas,645,0.116704,0.140789,0.828925,0.407147,0
Americas,716,0.731594,0.357966,2.043753,0.040978,2
Europe,5,3.812356,0.278079,13.70961,8.89E-43,3
Europe,6,0.355196,0.35754,0.993444,0.320494,0
Europe,7,1.153105,0.271745,4.243329,0.000022,3
Europe,8,0.666882,0.160602,4.152377,0.0000329,3
Europe,9,0.580478,0.284752,2.038544,0.041496,2
Europe,11,0.655556,0.307089,2.134745,0.032782,2
Europe,12,-0.24613,1.207591,-0.20382,0.838494,0
Europe,13,2.256354,0.262196,8.605599,7.59E-18,3
Europe,128,2.711968,0.210685,12.87215,6.46E-38,3
Europe,129,0.553253,0.206083,2.684607,0.007262,3
Europe,131,0.614779,0.28135,2.185102,0.028881,2
Europe,132,2.241441,0.251935,8.896916,5.74E-19,3
Europe,133,-0.772,0.248405,-3.10784,0.001885,3
Europe,135,0.615042,0.216964,2.834763,0.004586,3
Europe,150,0.247077,0.687395,0.35944,0.719266,0
Europe,153,0.613529,0.632619,0.969824,0.332134,0
Europe,154,0.592322,0.409033,1.448102,0.147589,0
Europe,156,-0.4415,0.444574,-0.99308,0.320669,0
Europe,192,1.107164,0.162549,6.81126,9.67E-12,3
Europe,254,0.564815,0.0842,6.708004,1.97E-11,3
Europe,255,0.167321,0.236983,0.706048,0.480158,0
Europe,328,0.670819,0.174665,3.840603,0.000123,3
Europe,331,0.141859,0.200862,0.706253,0.480031,0
Europe,335,0.471584,0.024998,18.86466,2.23E-79,3
Europe,389,0.41204,0.323277,1.274572,0.202461,0
Europe,394,0.744501,0.201524,3.694362,0.00022,3
Europe,594,0.474409,0.250966,1.890329,0.058714,1
Europe,621,0.618147,0.185909,3.32499,0.000884,3