Region,PTA_ID,Estimate,SE,Significance
Intercontinental,4,1.254574651,0.267886031,3
Intercontinental,15,0.313247551,0.179423035,1
Intercontinental,17,1.05475238,0.243731492,3
Intercontinental,104,-0.337655017,0.112343292,3
Intercontinental,136,0.744373028,0.185403241,3
Intercontinental,181,1.288234153,0.308676058,3
Intercontinental,202,0.6115393,0.240841088,2
Intercontinental,206,1.539811784,0.179567689,3
Intercontinental,208,0.762921661,0.128670606,3
Intercontinental,227,0.348436801,0.186183712,1
Intercontinental,242,0.050040474,0.293680458,0
Intercontinental,252,0.580495732,0.386749448,0
Intercontinental,263,1.425638254,0.11513482,3
Intercontinental,304,0.591031847,0.245334353,2
Intercontinental,323,-0.360489969,0.247077201,0
Intercontinental,330,0.66227862,0.187694439,3
Intercontinental,415,1.853609415,0.201333086,3
Intercontinental,416,0.424315368,0.294901494,0
Intercontinental,466,0.710148552,0.146766224,3
Intercontinental,490,0.842540256,0.181058994,3
Intercontinental,602,-0.075736862,0.918344356,0
Intercontinental,624,0.383687303,0.163214026,2
Intercontinental,626,1.099329892,0.120591548,3
Intercontinental,627,2.371993038,0.345317053,3
Intercontinental,641,2.027170966,1.255272064,0
Intercontinental,644,-0.189697807,0.121626023,0
Intercontinental,657,0.705104863,0.081949085,3
Intercontinental,677,-1.366141121,0.384825075,3
Intercontinental,679,-1.635893718,0.400376364,3
Intercontinental,979,0.060844846,0.854907063,0
Europe,5,3.811365801,0.278269811,3
Europe,6,0.411323178,0.352464532,0
Europe,7,1.153059863,0.270896324,3
Europe,8,0.78339276,0.248055961,3
Europe,11,0.662618889,0.297863983,2
Europe,12,-0.250193264,1.207065404,0
Europe,13,2.302635039,0.246485635,3
Europe,128,2.773036709,0.21262514,3
Europe,129,0.556175909,0.207613714,3
Europe,131,0.598959253,0.276260321,2
Europe,132,2.240901772,0.252483973,3
Europe,133,-0.70741336,0.225080858,3
Europe,135,0.695692771,0.206128654,3
Europe,150,0.444349681,0.679437003,0
Europe,153,0.817412297,0.595988301,0
Europe,154,0.773100304,0.354186667,2
Europe,156,-0.372294979,0.427684269,0
Europe,192,1.199153622,0.152441471,3
Europe,254,0.322723083,0.430378701,0
Europe,331,-0.032336751,0.337662825,0
Europe,335,1.098803844,0.098143782,3
Europe,594,0.45529905,0.248605836,1
Europe,621,0.613812106,0.186383912,3
Asia,1,-0.731881516,0.358555332,2
Asia,67,0.342055733,0.125446259,3
Asia,70,0.472268905,0.149972485,3
Asia,72,0.253544293,0.178367829,0
Asia,100,0.376008029,0.105321908,3
Asia,116,0.256036858,0.703365589,0
Asia,220,-1.215414161,0.093180094,3
Asia,221,-2.954970406,0.726828431,3
Asia,223,-0.014376645,0.202846058,0
Asia,456,-0.208980974,0.165360604,0
Asia,474,0.419493876,0.243228887,1
Asia,475,0.635912477,0.298294284,2
Asia,492,0.040995686,0.179681584,0
Asia,534,-0.16519267,0.370192494,0
Asia,599,-0.966620167,0.191147313,3
Asia,640,0.183117375,0.21667334,0
Asia,667,-0.048985906,0.24058072,0
Asia,675,1.359582646,0.655260895,2
Asia,683,1.079719872,0.23711235,3
Americas,141,0.26526,0.023606,3
Americas,185,0.294726,0.375055,0
Americas,188,0.684784,0.317143,2
Americas,201,0.54515,0.264619,2
Americas,213,1.342216,0.434918,3
Americas,239,0.571875,0.172975,3
Americas,612,0.517178,0.251415,2
Americas,616,0.488066,0.043694,3
Americas,716,0.731582,0.357952,2
Africa,670,0.325963,0.409857,0
Africa,787,0.303863,0.232632,0